id,team_name
839,Leher TS Jgd.
840,RW Cuxh. U17
841,Skoda Xanthi
842,Pol. Warsaw
843,RW Cuxh. U19
844,Teramo
845,Renato Curi Ang
846,CS Emelec
847,Bremerhaven U19
848,Irapuato
849,TuS Koblenz
850,Deportivo Quito
851,KV Kortrijk
852,Stade Lavallois
853,Yokohama F. M.
854,Chelsea Res.
855,SD Huesca
856,FC Cartagena
857,Ostbahn XI
858,Dunakeszi
859,Budapesti VSC
860,Miami Fusion
861,Junior FC
862,Indep. Medellín
863,Deportivo Cali
864,SV Weiden 14/75
865,Sunderland U18
866,Al-Ettifaq
867,Amiens SC
868,Oberneul. Yth.
869,Besançon RC
870,Wolfsburg U17
871,Wolfsburg U19
872,Bursaspor
873,Sakaryaspor
874,Vienna Yth.
875,Dorados Sinaloa
876,Al-Ahli SC
877,Barcelona Prom.
878,FAC Youth
879,Barça U18
880,FC Porto U17
881,FC Twente U19
882,RC Liège
883,Yokohama FC
884,G. Ober-Roden
885,Mauaense
886,Western Sydney
887,GC Zürich U18
888,W. Bremen II
889,FC Vilafranca
890,TuS Dassendorf
891,Zenit Leningrad
892,Howard Bison
893,Banbury
894,Hastings Utd
895,Dallas
896,Chapecoense
897,Budapesti Vasas 
898,Locomotiva B.
899,Portuguesa
900,Wismut K.-M.-St.
901,Bridgnorth Town FC
902,BSG Gera-Süd
903,San Diego Toros
904,Lyn
905,Radnicki BG
906,Martigny-Sports
907,Strømsgodset
908,Red Star ZH
909,US Toulouse
910,LASK
911,Inter Bratislava
912,FC Tokyo
913,AFC Wimbledon
914,Izmirspor
915,Bognor Regis
916,Fylkir
917,KSV Urberach
918,Septemvri pri CD
919,Clairef. U17
920,FC Metz U19
921,Cambuur L.
922,HSV III
923,FC Zwolle
924,St. Pölten Jgd
925,St. Pölten U15
926,St. Pölten U17
927,DOS Kampen
928,SC Interwetten
929,Caracas FC
930,Melk
931,Le Mans FC B
932,Kladno
933,Örebro SK U19
934,O Charleville
935,Le Mans FC
936,Real Avilés
937,RCD Coruña
938,La Louviere
939,AS Aix
940,Bata Zlin
941,Qarabag FK
942,SO Cholet
943,Din. Zagreb U19
944,FC Wien
945,NK Lokomotiva
946,Brentford
947,Pezoporikos
948,St-Étienne U19
949,FCM Brasov
950,Hassia Bingen
951,Marseille B
952,CD Revilla
953,Rayo Cantabria
954,Lanús
955,Velke Mezirici
956,CD Cruz Azul
957,Aldosivi U20
958,Wattenscheid 09
959,Brasiliense-DF
960,SE Gama
961,América-SP
962,Zehlendorf U17
963,PAS Giannina
964,Erbil SC
965,Al-Wakrah SC
966,Hertha BSC U17
967,Al-Khor SC
968,Hertha BSC U19
969,BJ Renhe
970,Renhe Reserve
971,SW Frankenthal
972,Al-Wahda
973,Hoffenheim II
974,Kirkuk FC
975,Rákosmente
976,Dunaújváros
977,Lombard Pápa 
978,CS Sfaxien
979,Panetolikos
980,Manchego
981,AC Arles U19
982,Panserraikos
983,Campinense-PB
984,Toluca U17
985,Valle de Bravo
986,Tepatitlán 
987,Tlaxcala
988,Leicester U18
989,Graafschap Yth.
990,KFC Uerdingen
991,CQ Lifan
992,Graafschap U17
993,PSV U19
994,De Graafschap
995,E. Bamberg U17
996,Nürnberg U19
997,SCR Altach
998,RC Lens B
999,Getafe
1000,C. Rizespor
1001,MSV Duisburg
1002,Sport Recife
1003,A. Vienna Res.
1004,TJ Tianhai
1005,TJ Teda
1006,Al Ahly
1007,Verona U19
1008,Asante Kotoko
1009,Valenciennes FC
1010,Torino FC Youth
1011,Anorthosis
1012,Svendborg fB
1013,El Nacional U20
1014,Recr. Huelva
1015,Columbus
1016,Rot Weiss Ahlen
1017,Julius Berger FC
1018,H. Kfar Saba
1019,GZ R&F
1020,RW Ahlen U19
1021,FC Limonest
1022,LR Ahlen U17
1023,South China
1024,Burton Albion
1025,FC Istres
1026,Scornicesti
1027,FC National
1028,Freiburg Yth.
1029,TuS Pewsum
